# Appendix 4 to 'Meta-analysis of chromosome-scale crossover rate variation in eukaryotes
# and its significance to evolutionary genomics' by Haenel, Laurentino, Roesti & Berner
# 
# This file lists physical map length (in megabases, Mb), genetic (or linkage) map length 
# (in centimorgan, cM), and crossover rate (genetic divided by physical map length, cM/Mb)
# for each chromosome in 52 total species. These data represent the input for all analyses
# presented in Figure 5. The 'Kingdom' column specifies the affiliation of each species to 
# animals, plants, or fungi. The chromosome names follow those used in the source publications
# (the references and other details are provided in Table 1). Note that physical map lengths
# generally slightly underestimate the values in the source publications because for 
# consistency across data sets, physical chromosome lengths were defined by the midpoint of the
# last marker interval, not by the position of the terminal marker.

Species	Kingdom	Chromosome	Physical.map.length.Mb	Genetic.map.length.cM	Crossover.rate
Cucumis.melo	Plants	PMI	34.73	91.96	2.65
Cucumis.melo	Plants	PMII	25.93	101.17	3.90
Cucumis.melo	Plants	PMIII	29.05	87.30	3.01
Cucumis.melo	Plants	PMIV	32.39	77.71	2.40
Cucumis.melo	Plants	PMV	27.80	111.91	4.03
Cucumis.melo	Plants	PMVI	35.33	114.54	3.24
Cucumis.melo	Plants	PMVII	26.59	106.23	3.99
Cucumis.melo	Plants	PMVIII	32.46	103.95	3.20
Cucumis.melo	Plants	PMIX	23.67	99.00	4.18
Cucumis.melo	Plants	PMX	25.23	67.57	2.68
Cucumis.melo	Plants	PMXI	30.95	107.85	3.49
Cucumis.melo	Plants	PMXII	25.96	91.82	3.54
Taeniopygia.guttata	Animals	Tgu1	117.23	77.04	0.66
Taeniopygia.guttata	Animals	Tgu3	109.51	66.55	0.61
Taeniopygia.guttata	Animals	Tgu4	64.71	19.87	0.31
Taeniopygia.guttata	Animals	Tgu4A	19.62	58.37	2.97
Taeniopygia.guttata	Animals	Tgu5	58.90	41.70	0.71
Taeniopygia.guttata	Animals	Tgu6	33.86	51.13	1.51
Taeniopygia.guttata	Animals	Tgu7	36.61	27.87	0.76
Taeniopygia.guttata	Animals	Tgu8	26.36	34.40	1.31
Taeniopygia.guttata	Animals	Tgu9	25.42	51.78	2.04
Taeniopygia.guttata	Animals	Tgu10	19.92	60.52	3.04
Taeniopygia.guttata	Animals	Tgu11	19.23	36.38	1.89
Taeniopygia.guttata	Animals	Tgu12	19.34	35.74	1.85
Taeniopygia.guttata	Animals	Tgu13	16.23	18.65	1.15
Taeniopygia.guttata	Animals	Tgu14	15.90	48.65	3.06
Taeniopygia.guttata	Animals	Tgu15	12.19	44.14	3.62
Taeniopygia.guttata	Animals	Tgu17	10.67	47.08	4.41
Taeniopygia.guttata	Animals	Tgu18	10.15	33.06	3.26
Taeniopygia.guttata	Animals	Tgu19	10.80	54.84	5.08
Taeniopygia.guttata	Animals	Tgu20	14.22	53.06	3.73
Taeniopygia.guttata	Animals	Tgu23	4.92	36.69	7.46
Zea.mays	Plants	Chr1	300.00	152.57	0.51
Zea.mays	Plants	Chr2	236.61	129.56	0.55
Zea.mays	Plants	Chr3	232.08	133.23	0.57
Zea.mays	Plants	Chr4	240.00	118.60	0.49
Zea.mays	Plants	Chr5	230.00	137.44	0.60
Zea.mays	Plants	Chr6	168.79	135.64	0.80
Zea.mays	Plants	Chr7	176.22	159.93	0.91
Zea.mays	Plants	Chr8	174.98	107.44	0.61
Zea.mays	Plants	Chr9	155.86	132.02	0.85
Zea.mays	Plants	Chr10	149.94	123.10	0.82
Sorghum.bicolor	Plants	Sb01	73.89	220.31	2.98
Sorghum.bicolor	Plants	Sb02	76.96	208.80	2.71
Sorghum.bicolor	Plants	Sb03	73.27	256.25	3.50
Sorghum.bicolor	Plants	Sb04	67.29	183.02	2.72
Sorghum.bicolor	Plants	Sb05	62.22	321.66	5.17
Sorghum.bicolor	Plants	Sb07	64.13	118.30	1.84
Sorghum.bicolor	Plants	Sb08	55.00	227.38	4.13
Sorghum.bicolor	Plants	Sb09	58.97	152.83	2.59
Sorghum.bicolor	Plants	Sb10	59.26	261.54	4.41
Phaseolus.vulgaris	Plants	Chr1	51.60	81.49	1.58
Phaseolus.vulgaris	Plants	Chr2	50.11	121.09	2.42
Phaseolus.vulgaris	Plants	Chr3	52.14	102.18	1.96
Phaseolus.vulgaris	Plants	Chr4	45.24	76.88	1.70
Phaseolus.vulgaris	Plants	Chr5	40.54	72.77	1.80
Phaseolus.vulgaris	Plants	Chr7	51.69	109.54	2.12
Phaseolus.vulgaris	Plants	Chr8	59.56	111.21	1.87
Phaseolus.vulgaris	Plants	Chr9	36.96	76.68	2.07
Phaseolus.vulgaris	Plants	Chr10	43.04	59.77	1.39
Phaseolus.vulgaris	Plants	Chr11	49.84	70.38	1.41
Danio.renio	Animals	1	60.25	95.70	1.59
Danio.renio	Animals	2	59.92	94.72	1.58
Danio.renio	Animals	3	63.01	99.59	1.58
Danio.renio	Animals	4	61.33	88.57	1.44
Danio.renio	Animals	5	75.65	106.56	1.41
Danio.renio	Animals	6	59.54	91.23	1.53
Danio.renio	Animals	7	77.27	103.70	1.34
Danio.renio	Animals	8	55.74	84.60	1.52
Danio.renio	Animals	9	58.12	90.71	1.56
Danio.renio	Animals	10	46.55	76.96	1.65
Danio.renio	Animals	11	46.31	80.46	1.74
Danio.renio	Animals	12	50.68	76.29	1.51
Danio.renio	Animals	13	54.03	79.73	1.48
Danio.renio	Animals	14	53.51	82.26	1.54
Danio.renio	Animals	15	46.95	89.25	1.90
Danio.renio	Animals	16	58.15	77.66	1.34
Danio.renio	Animals	17	53.91	88.21	1.64
Danio.renio	Animals	18	49.81	83.92	1.68
